Blue Colourblock Poloshirt;25.99;clothing
Khaki Blocked T-Shirt;26.00;clothing
Multi Cushioned Trainer Socks Five Pack;14.00;clothing
Joules Black Stamford Heeled Leather Chelsea Boots;202.00;clothing
Blue Stretch Tonic Suit: Waistcoat;49.90;clothing
Black Regular Fit Suit: Trousers;41.00;clothing
Blue Mixed Vests Five Pack;43.50;clothing
Mid Blue Straight Fit Jeans With Stretch;36.00;clothing
adidas Originals Gazelle Trainers;110.00;clothing
Coca-Cola Zero Sugar Soda, 12 Fl. Oz., 24 Count;6.98;groceries
Fresh Red Cherries, 2 lb bag;7.94;groceries
Cilantro, bunch;0.48;groceries
Red Onions, each;0.78;groceries
Blue Ribbon Classics Fudge Bar , 20pk;4.97;groceries
Great Value Large White Eggs, 18 count, 36 oz;2.69;groceries
Kraft Singles American Slices, 24 ct - 16 oz. Wrapper;3.97;groceries
Clementines, 3lb bag;4.22;groceries
Celery, each;0.98;groceries
Iceberg Lettuce, 1 Each;1.28;groceries
RO*TEL Original Diced Tomatoes and Green Chilies 10 Ounce;0.98;groceries
Fresh Strawberries, 1 lb;1.56;groceries
Asparagus, Bunch;2.97;groceries
Zucchini, 1 Each;0.76;preparedFood
Barber Foods Cordon Bleu Stuffed Chicken Breasts 10 oz. Box;4.36;preparedFood
LEAN CUISINE FAVORITES Chicken Fettuccini 9.25 oz. Box;1.98;preparedFood
Amy's Frozen Bowls, Mexican Casserole, Non GMO, 9.5-Ounce;3.98;preparedFood
InnovAsian Sweet & Sour Chicken Frozen Asian Entree, 18 Oz;5.38;preparedFood
Night Hawk Steak 'N Taters Frozen Dinner 6 oz. Box;2.78;preparedFood
Amy's Thai Red Curry, Dairy and Gluten Free, Vegan, 10-Ounce;3.98;preparedFood
Zatarain's Creamy Shrimp Alfredo Frozen Dinner, 10.5 oz;3.18;preparedFood
STOUFFERS FIT KITCHEN Protein Bowls Steak Fajita, Frozen Meal;3.48;preparedFood
Healthy Choice Cafe Steamers Frozen Dinner General Tsos Spicy Chicken 10.3 Ounce;2.52;preparedFood
Banquet Classic Chicken Fried Chicken Frozen Single Serve Meal 10.1 Ounce;1.24;preparedFood
Banquet Mega Bowls Chicken Fried Beef Steak Frozen Dinner 14 Ounce;2.18;preparedFood
Amy's Frozen Bowls, Chile Relleno Casserole, Gluten Free, Non GMO, 9-Ounce;3.98;preparedFood
BLAKES Frozen Meal Chicken Pot Pie All-Natural 8 oz.;3.37;preparedFood
SWEET EARTH Pad Thai 9 oz. Box;3.38;preparedFood
MidNite Drug-free Sleep Aid Chewable Tablets, Cherry Flavor, 30 ct;7.48;nonPrescriptionDrug
Nasacort Multi-Symptom 24Hr Nasal Allergy Relief Spray, 120 Ct;17.97;nonPrescriptionDrug
Allegra 24 Hour Allergy Tablets Value Size, 70 Ct;33.82;nonPrescriptionDrug
Claritin 24 Hour Allergy Medicine, Antihistamine Tablets, 10 Ct;9.82;nonPrescriptionDrug
Equate Infants' Saline Spray/Drops, All Ages, 1 fl oz;2.82;nonPrescriptionDrug
Flonase Sensimist 24hr Allergy Relief Nasal Spray, Gentle Mist, Scent-Free, 60 sprays;13.68;nonPrescriptionDrug
NeilMed Pharmaceuticals NeilMed Nasa Mist Nasal Spray, 4.2 oz;6.48;nonPrescriptionDrug
Spring Valley 5-HTP Capsules, 100 mg, 30 Count;8.88;nonPrescriptionDrug
Diurex Max Water Pills - Maximum Strength Caffeine Free Diuretic - Relieve Water Bloat - 40 ct;7.96;nonPrescriptionDrug
AZO Bladder Control with Go-Less, Helps Reduce Occasional Urgency, 54 ct;17.87;nonPrescriptionDrug
Natrol Dietary Supplement Fast Dissolve Melatonin 3 mg Strawberry - 90 CT;4.68;nonPrescriptionDrug
Osteo Bi-Flex Triple Strength, 80ct x 2 Coated Tablets;29.84;nonPrescriptionDrug
AZO Cranberry Urinary Tract Health Supplement, 100 Softgels;11.54;nonPrescriptionDrug
MATLAB & Simulink Student Suite R2019b;87.90;intangibles
AutoCAD 2020 32/64-Bit 3-Year License for Windows;103.99;intangibles
ESET NOD32 Antivirus for Windows 2019 | 1 Device & 1 Year;29.99;intangibles
MS Visio 2019 Professional Product Key 32/64 bit license key;65.50;intangibles
Norton 360 Deluxe  Antivirus software for 5 Devices with Auto Renewal;24.99;intangibles
Professor Teaches Office 2019 & Windows 10;31.98;intangibles
MindMaple Pro (1-Year License);9.98;intangibles
TurboTax Premier + State 2019 Tax Software;69.80;intangibles
Master Access 2016 Training Course - 18 Hours of Access 2016;34.97;intangibles
Kalipoz prolongatum, 391 mg K +, prolonged-release tablets, 60 ct.;3.89;prescriptionDrug
Rotarix, 1.5 ml, oral rotavirus vaccine, 1 oral applicator;60.00;prescriptionDrug
Vibin mini, 0.02 mg + 3 mg, coated tablets, 28 ct;5.80;prescriptionDrug
Frimig, 100 mg, coated tablets, 6 ct;12.90;prescriptionDrug
Nebilet, 5 mg, tablets, 28 ct.;8.90;prescriptionDrug
Euthyrox N 50, tablets, 50 mcg, 100 ct;11.50;prescriptionDrug
Ristfor, 50 mg / 1000 mg, coated tablets, 56 ct;49.90;prescriptionDrug
